# V = lam |H|^4 - (m^2/2) |H|^2;	n_threshold=1;	n_RGE=2
# Log10[scale]	lam[scale]	m[scale]
2.2385479	0.12762267	132.28804
2.5	0.1153498	133.51668
2.75	0.1048232	134.58928
3.	0.095288657	135.5726
3.25	0.086600957	136.47539
3.5	0.078644859	137.30511
3.75	0.071327462	138.06813
4.	0.064572859	138.77
4.25	0.058318241	139.41557
4.5	0.052511065	140.00909
4.75	0.047106915	140.55439
5.	0.042067882	141.05484
5.25	0.037361342	141.5135
5.5	0.032959003	141.93313
5.75	0.028836128	142.31624
6.	0.024970967	142.66511
6.25	0.021344245	142.98183
6.5	0.017938801	143.26833
6.75	0.014739268	143.52638
7.	0.011731813	143.75762
7.25	0.0089039298	143.96355
7.5	0.0062442582	144.14561
7.75	0.0037424499	144.30508
8.	0.0013890145	144.44321
8.25	-0.00082474331	144.56114
8.5	-0.0029068381	144.65994
8.75	-0.0048646816	144.74061
9.	-0.0067051411	144.80409
9.25	-0.0084345847	144.85129
9.5	-0.010058942	144.88302
9.75	-0.011583749	144.90008
10.	-0.013014186	144.90321
